frame,label,mean_Cy3,mean_GFP,mean_ratio_Cy3/GFP,mean_ratio_GFP/Cy3,std_Cy3,std_GFP,std_ratio_Cy3/GFP,std_ratio_GFP/Cy3,Y,X,log_mean_ratio_GFP/Cy3
100,9833,1400.11842105,637.5789473680001,2.1996430494799997,0.456915693044,84.5749382913,28.048953051999998,0.156812670011,0.032373134115,5678.0,2897.0,-0.7832563842222713
100,9834,1247.4505892999998,593.019945603,2.10189051914,0.552821023523,414.053479424,37.8729991252,0.685076483276,0.263951572621,5675.0,5527.0,-0.5927209762768
100,9835,265.123031496,775.38484252,0.35013570440499997,2.93972625348,21.066813965399998,122.896147689,0.0596136033774,0.500692707678,5681.0,8093.5,1.0783164659542617
100,9836,273.695798319,565.868907563,0.484649009073,2.08179691847,29.110509220100003,44.0044263394,0.046111904539299996,0.19569431049000002,5679.0,8782.0,0.7332314238742906
100,9837,278.547105562,873.598183882,0.332054615402,3.1460695755000003,23.9429490074,183.132169006,0.0703757999868,0.650284476348,5685.0,3147.0,1.1461539199350885
100,9838,589.504761905,593.111904762,0.995419711909,1.1428402899099999,197.426273101,34.6273612046,0.333829804069,0.43354804585199996,5686.0,142.5,0.13351664618704434
100,9839,279.841386555,852.99789916,0.34097160173,3.0488360434400006,16.6299014816,172.925203617,0.0677143413772,0.594698123765,5684.5,2062.0,1.1147598926802904
100,9840,600.014861996,906.112526539,0.649377714286,1.6031648707600001,189.253898231,167.616689627,0.121912374297,0.344871380228,5684.0,341.5,0.47197971971724056
100,9841,279.874850299,1190.00718563,0.259450126849,4.232310433019999,24.067256606199997,378.454036091,0.0819816617671,1.2438185510700002,5680.0,7129.5,1.4427480456039294
100,9842,329.488603989,573.2264957259999,0.5763145340320001,1.78306509893,53.200146316899996,35.7253887388,0.09551361981789999,0.293871323284,5686.5,4592.0,0.5783338491118608
100,9843,355.00755287,566.069486405,0.628748844342,1.6450731957,64.2626662634,34.6397690616,0.11607343734000002,0.302195396497,5684.5,8674.0,0.4977848790936849
100,9844,526.562691131,580.003058104,0.9079512058689999,1.19355727359,142.969024947,25.9105139028,0.244221789216,0.353268438118,5686.5,1058.0,0.17693815357163128
100,9845,1048.10784314,587.357142857,1.77304814156,0.7337051731090001,496.34415115,27.7002747656,0.817290122307,0.39965141880099997,5683.0,2008.0,-0.3096480025728562
100,9846,736.5686274510001,798.63800905,0.890247765652,1.23859148294,306.79125762900003,135.755942414,0.25888408073,0.410241462701,5687.5,2414.0,0.2139748331377743
100,9847,769.9572864319999,581.9924623119999,1.3239395385700001,0.807164087957,180.751504048,33.5864210936,0.308927747003,0.231897043523,5687.0,1828.0,-0.21422830057935918
100,9848,320.78026172299997,1146.30207197,0.314891754835,3.84276334736,95.9743764805,439.413116489,0.11770328692299999,1.90101367562,5691.5,5722.0,1.3461917295044203
100,9849,298.06097561,850.772045028,0.36150605193400004,2.8343203055400004,28.5135667092,187.54893196900002,0.0560588479289,0.444759255915,5689.0,5824.0,1.041802157302543
100,9850,271.712006717,1710.08984047,0.20164894237599998,6.318349657890001,22.2779220041,809.5226326989999,0.0989345854263,3.0043515617799996,5688.0,413.5,1.843458043977674
100,9851,271.971171171,560.938738739,0.486091281675,2.07707736589,24.8371829197,34.2811879996,0.04781296265,0.203234835462,5687.5,8757.0,0.7309617930639994
