frame,label,mean_Cy3,mean_GFP,mean_ratio_Cy3/GFP,mean_ratio_GFP/Cy3,std_Cy3,std_GFP,std_ratio_Cy3/GFP,std_ratio_GFP/Cy3,Y,X,log_mean_ratio_GFP/Cy3,DistanceLastNeighbor_k-00-05,neighbors_k-00-05,DistanceLastNeighbor_k-05-10,neighbors_k-05-10,DistanceLastNeighbor_k-10-15,neighbors_k-10-15,DistanceLastNeighbor_k-15-20,neighbors_k-15-20,DistanceLastNeighbor_k-20-25,neighbors_k-20-25,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_p_val,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_z_val,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_stats,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_low_quantile,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_high_quantile
100,3996,265.088607595,750.41382668,0.362083182311,2.84096484512,16.363534896300006,118.46446607,0.0607407161185,0.478805070034,396.5,1212.5,1.0441437286737025,131.76589088227652,"[3954, 4013, 4169, 3914, 3799]",169.325869258067,"[3799, 3807, 4232, 4113, 3829, 4248]",203.8283591652545,"[4248, 4300, 4057, 3743, 3892, 3760]",216.16255457409824,"[3760, 4328, 4366, 4080, 3683, 3727]",251.92310334703325,"[3727, 4337, 3667, 4226, 3965, 4429]",0.423,0.19929858409895984,0.06234625597052999,-0.6972118322456803,0.7194392802148457
100,3998,358.970331588,571.329842932,0.630335536316,1.76606873447,140.21366452700002,34.9218189317,0.246810290662,0.476807135941,394.5,422.0,0.5687560224153061,71.11258679024411,"[3988, 4034, 3896, 3891, 3953]",126.02479914683458,"[3953, 4143, 3938, 3833, 4020, 4095]",151.93172808863855,"[4095, 4188, 4195, 4067, 4153, 4161]",175.81879876736733,"[4161, 3795, 3948, 3854, 3758, 4283]",199.96999774966244,"[4283, 3736, 4087, 4335, 3969, 4035]",0.186,-0.9621920255091574,-0.085391654790222,-0.17290182964787104,0.17853925455497724
100,4011,273.088549618,555.861068702,0.492936376986,2.04801764066,22.7030906906,35.444836341599995,0.0484403988088,0.198816269357,409.5,950.0,0.71687232074368,71.87663041629038,"[4031, 3965, 3939, 4080, 4099]",107.28699828031355,"[4099, 4057, 3906, 4182, 3892, 3857]",125.98114938354864,"[3857, 3973, 4062, 4218, 3880, 3823]",158.58199771726927,"[3823, 3960, 4226, 4217, 4113, 4287]",188.87628225904916,"[4287, 3914, 4013, 4084, 3829, 3747]",0.283,0.6019156883678045,0.10449815481799438,-0.320391794247622,0.3577823818463558
100,4013,268.334590009,831.065032988,0.336972773101,3.1063145798000003,15.8850198416,170.57627146,0.07233491410689999,0.658260396958,409.5,1122.5,1.133437000924353,90.93404203047393,"[4113, 3954, 3914, 4057, 3996]",128.53501468471538,"[3996, 4169, 4080, 3829, 3892, 4248]",172.5,"[4248, 3807, 3965, 4232, 4226, 4011]",193.52325441662043,"[4011, 4328, 3799, 3857, 4300, 4218]",212.3016721554496,"[4218, 4350, 3727, 4031, 3739, 4287]",0.402,0.26881975018911325,0.10184839772234645,-0.8259780766136537,0.8193211422560632
100,4014,723.562424242,921.324848485,0.769407084983,1.36343087057,238.059821958,182.11953098,0.154285744902,0.327001256107,412.0,696.5,0.3100042220328866,85.19683092697755,"[4016, 4136, 3919, 4035, 4084]",112.47444154117859,"[4084, 4135, 3901, 3872, 3855, 4191]",152.0567328335053,"[4191, 3960, 3848, 4062, 4067, 3822]",171.0592002787339,"[3822, 4277, 3784, 3973, 4298, 3792]",204.26698215815497,"[3792, 4247, 4153, 3880, 4217, 3906]",0.344,0.41566248466272354,0.024226941359551144,-0.10518482148382674,0.10971241833538257
100,4016,472.83241758199995,567.617216117,0.834072991337,1.3291302797,150.00999457700001,33.402830432399995,0.263773672391,0.428073632832,412.0,752.5,0.2845248032938352,85.39613574395507,"[4084, 4014, 3901, 3960, 4062]",115.1086443322134,"[4062, 4136, 4191, 3973, 3848, 3919]",142.90206436577463,"[3919, 3855, 4135, 3872, 4035, 3880]",158.4313731556979,"[3880, 4277, 4099, 3906, 3792, 4217]",187.81174084705142,"[4217, 4031, 3784, 3939, 4298, 3822]",0.366,-0.3561958544739817,-0.023784139013769235,-0.13674581125079108,0.1343132596173624
100,4020,508.756571429,872.721142857,0.575652529145,1.77841390853,150.50779248799998,184.107384686,0.08608981231519999,0.280276179986,416.0,303.0,0.5757219044481086,79.69002446981679,"[4095, 3948, 3938, 4087, 4161]",116.54720073858488,"[4161, 3969, 3988, 4043, 4143, 4195]",126.27846213824431,"[4195, 4205, 3854, 3998, 3899, 3891]",169.2704935894026,"[3891, 3980, 3795, 4157, 3896, 4079]",190.38185312681458,"[4079, 4221, 4034, 4345, 4340, 3953]",0.179,-0.9228895227581314,-0.09436074387188464,-0.19378523364268108,0.17206434483410712
100,4031,273.676291793,558.8708206690001,0.491235625958,2.05617951948,24.016017013200003,34.5035573638,0.049524482093900014,0.20543777011,419.5,915.0,0.7208496587033718,82.70731527501059,"[4011, 4099, 3939, 3973, 3965]",108.40664186294121,"[3965, 4062, 3906, 4182, 4080, 3960]",127.7125679015186,"[3960, 3880, 4217, 4218, 4057, 3857]",159.21133753599332,"[3857, 3823, 3892, 4084, 4226, 4287]",183.1017476705233,"[4287, 4016, 4353, 4113, 3901, 4342]",0.482,0.01227644189304788,-0.0006240661108027445,-0.3260628625118694,0.3490389049036904
100,4034,641.338686131,576.2014598540001,1.11495163937,1.01573942306,206.34628051299998,35.4194510985,0.359656113705,0.38835989699,420.5,482.5,0.015616842895230168,90.23441693721969,"[3953, 3998, 4067, 4153, 4188]",131.10682667199293,"[4188, 3896, 3988, 4143, 3891, 3833]",157.8931600798464,"[3833, 4035, 4247, 4283, 4195, 3938]",185.67242660125922,"[3938, 4135, 4095, 4020, 4335, 3758]",194.36885038503468,"[3758, 4161, 3919, 4372, 3822, 4361]",0.26,-0.6466425290756639,-0.1417863738458759,-0.4633189780921975,0.3961431326327359
100,4035,276.20103626900004,1038.42072539,0.298566566689,3.77879069356,22.643234334000002,355.593753166,0.101828695736,1.31269301257,422.5,620.0,1.3294040361068034,86.93819643861954,"[4135, 4067, 4014, 3919, 4136]",137.51454468528047,"[4136, 4153, 3872, 4247, 4016, 4034]",155.65667348366404,"[4034, 3822, 3953, 3855, 4084, 4191]",180.02499826412998,"[4191, 3901, 4298, 4188, 4277, 3784]",203.20986688642853,"[3784, 3848, 4361, 3896, 3998, 3833]",0.25,-0.6917882950536359,-0.3562076869428733,-0.9915828336127767,1.0555630404823302
100,4043,804.4602977669998,598.950372208,1.3233283877600002,0.931690172175,359.905409115,36.5815994453,0.548143629261,0.450489838399,426.5,198.0,-0.07075495285336711,71.69379331573968,"[4087, 3980, 3969, 4079, 4157]",108.84047960203041,"[4157, 3948, 3899, 4020, 4221, 4205]",136.48809471891678,"[4205, 4095, 3921, 4128, 4161, 4270]",160.25136504878827,"[4270, 3972, 4105, 3854, 3938, 4324]",188.55900933129658,"[4324, 4071, 4297, 4345, 3971, 4195]",0.142,1.1185096376191668,0.307389472384117,-0.5177496064952065,0.5320903178713333
