ObjectNumber,Area,Compactness,Eccentricity,EulerNumber,Intensity_MEAN,Intensity_MEDIAN,Location_X,Location_Y,FirstClosestDistance,NumberOfNeighbors,PercentTouching,SecondClosestDistance,C19H24N2O2,C45H86O13P,C48H81NO10P,C10H14N5O7P
1152,3737,8.026198538643166,0.9777066036977038,1.0,0.01394383070413756,0.0117952236905694,692.2146106502537,29.086432967620794,47.877940376510274,5.0,20.110957004160884,68.89622860905256,3738.9830694827283,2085.965698542645,5962.75174391279,273.71788612749674
1161,3508,4.1076628232427455,0.9833387852229114,1.0,0.017672118007793742,0.016342412680387497,1770.79732041049,23.872576966932684,90.96114643143812,3.0,17.764471057884236,98.87656940110922,3438.297287237449,4556.549575221995,8722.41165044399,206.3685844713221
1163,2168,7.3385907318231665,0.9887496787526044,1.0,0.01351391918019897,0.012588692829012873,490.6674354243546,19.185424354243423,41.9561061833506,2.0,1.2396694214876034,63.39608928103266,3956.3518774281374,2168.2483087622604,5018.084625841224,133.11283979415893
1169,1669,1.5163380214328268,0.8288076076923074,1.0,0.0260663134274126,0.015251392498612404,1048.985020970641,7.748352306770585,36.339416104536966,1.0,21.05263157894737,59.80708756899935,3657.6560308080516,1702.9937512474341,4536.069540873063,286.16495903739093
1182,3279,2.2379787140757488,0.8166976754538365,1.0,0.044369494323637175,0.029686426743865013,553.3263189996951,37.93626105519979,12.725922473401912,3.0,52.908067542213885,23.99270097634961,5516.7737182617175,3137.6467529296874,14601.019848632815,262.8913387298584
1183,2584,1.7828025764725959,0.9259607017732842,1.0,0.01815227781629317,0.016937514767050743,427.5421826625384,13.331656346749241,63.39608928103266,2.0,11.0062893081761,86.19836772764393,5376.3245124816885,4839.7076358795175,9460.444942474363,572.7040833234788
1187,1991,3.2284310766368494,0.9674636129159104,1.0,0.014494315863295543,0.013611047528684141,623.5926670015065,35.22802611752877,51.125219676747065,1.0,11.614730878186968,65.47378432246424,2566.251326424735,4193.676894051689,10644.06638445173,157.93315127917697
1190,4879,3.0010308494014883,0.9748065955429146,1.0,0.013612573856625688,0.012222476303577423,867.4748923959828,12.067636810821796,77.98965358518686,4.0,34.857142857142854,79.79489451856901,3578.593634670044,2553.6644465499608,7705.726115788032,157.977688565288
1191,3265,1.69667671741855,0.9337161166967431,1.0,0.0184315152124004,0.0156710147857666,1421.149464012251,25.09372128637051,67.88855122341008,2.0,16.470588235294116,84.27244990497064,3280.023489379883,2299.966195678711,7350.607000732421,0.0
1195,7133,1.6518943832219508,0.7209660373582816,1.0,0.03047500288937297,0.013122758828103542,1292.8251787466706,20.523342212252828,99.03119651767209,1.0,4.166666666666667,109.40118948788107,4090.4069593095974,5545.929905613542,7901.938423440388,303.09541089904724
1198,1961,2.546746381876139,0.9719601557660772,1.0,0.02299852863031077,0.02101930230855941,1653.0627231004592,61.374298827128996,20.375685500931823,3.0,70.85889570552149,53.87000366049558,2508.800771161545,2864.126298384233,5880.168878728693,194.48486971264043
1199,4217,3.753360832520472,0.983964978337006,1.0,0.015172425155961415,0.013252460397779942,1663.0571496324396,79.13042447237376,20.375685500931823,4.0,75.91522157996147,34.32690446453909,2636.7133907742723,2698.605136928396,6856.926562784871,179.30549745807494
1202,1372,1.0766542695950978,0.6103708224897526,1.0,0.059406163943076164,0.031403068453073515,27.027696793002633,52.127551020408646,50.54581437527271,0.0,0.0,96.42331051650952,3583.315035635965,5871.57188870614,14640.277206688595,0.0
1204,6452,1.241681572988422,0.7115596075021045,1.0,0.014718942031823216,0.01336690317839384,220.879417234966,55.22675139491639,49.91258751983627,4.0,46.49681528662421,75.60046252190432,2507.734074370076,1406.871625753166,4477.6906493956685,283.735896513115
1206,2995,1.6444230795649362,0.9341066627079296,1.0,0.014647616682658113,0.01347371656447649,804.2744574290477,57.763272120200554,77.31557506253927,3.0,34.421364985163194,77.98965358518686,3095.0833164172222,2584.6235365278258,6509.951590205846,157.5388739082251
1209,1067,1.8670303965018265,0.9536587842326064,1.0,0.02811591349491516,0.02361333649605513,1023.1096532333645,61.668228678537616,59.80708756899935,1.0,11.827956989247312,65.10263931517314,4559.715847439235,6775.439453125,20072.45692274305,248.5650504783348
1218,2659,1.2495209841356174,0.8485320264178537,1.0,0.02033993199603557,0.016609445214271545,1375.3749529898469,75.22903347122951,58.83009249939617,2.0,21.09090909090909,67.88855122341008,3819.578434024845,4533.799955350859,11443.283383481135,0.0
1223,3334,1.268412232888614,0.8317709468397922,1.0,0.021199358314338317,0.018829632550477985,911.6334733053391,78.52999400119961,34.65979058958826,4.0,55.769230769230774,54.34518891268696,2095.010899123115,2599.54660297762,8453.422370559987,344.85972371165025
1227,2458,2.054048402456679,0.9051357651786164,1.0,0.017980727434546314,0.016174564138054848,399.8075671277454,94.94629780309197,79.1900838016018,2.0,7.183908045977013,83.21240368059499,3304.183880262139,1637.6913931350077,3445.5911411253874,171.3766104958274
1229,3776,2.3261309815470086,0.9516084231723924,1.0,0.014298265328545959,0.01304646395146847,240.88612288135596,100.95418432203337,49.91258751983627,2.0,40.13761467889909,82.5706627295487,3116.586465896229,1505.86748922503,4056.304312230841,97.73520158963152
1230,3724,3.4762076046316768,0.9735660827278008,1.0,0.019004173553698805,0.01440451666712761,605.311761546724,82.97314715359857,51.125219676747065,6.0,43.595041322314046,53.4962381090932,3175.2564673030915,3308.546314666805,10644.253845003625,0.0
1231,2030,1.5265211347401229,0.9218645994423988,1.0,0.018982937449378328,0.01840238086879253,1980.939408866995,95.16748768472962,31.307655323712016,2.0,74.15730337078654,76.67568267717253,2519.6269531249995,2390.2000732421875,5448.84326171875,411.8868255615234
1232,3979,1.57937647828255,0.8096799099400086,1.0,0.012598709907353704,0.011581597849726677,1571.3156572003008,93.13722040713742,56.64817403806883,2.0,18.07780320366133,87.70100324729721,2371.6258027397103,2048.3758995737376,5573.3759928991585,290.50841207642213
1238,1236,1.602436549165259,0.9192615978799814,1.0,0.02786598639701369,0.02630655467510224,921.4894822006468,111.75889967637545,34.65979058958826,4.0,75.0,38.05309481208412,1913.8849379595588,3399.757989253394,9432.850254524888,287.0555767905118
1239,3579,3.6192635670512656,0.9855396949287154,1.0,0.013071516094680906,0.012443732470273972,1433.6879016485054,119.72729812796865,31.514951217633637,3.0,17.350746268656714,63.62627954569566,3371.039626030087,3842.931830996824,10475.008787235887,127.03573411510835
1242,2590,1.4751060871729522,0.7792820548973056,1.0,0.01522740813576289,0.013992522843182087,104.65945945945964,109.31814671814641,51.953754591095574,0.0,0.0,96.42331051650952,5287.392976938568,3880.3869712308333,11387.190705672556,0.0
1249,5280,1.3019019915616261,0.8160563733010608,1.0,0.013965840140449336,0.012726024724543095,853.2303030303028,117.6049242424242,68.50906176730217,5.0,26.289926289926292,70.26934233028959,2912.7567024117548,1559.8594709685162,6194.048331070129,317.1514482879955
1250,2467,1.476420964478414,0.9078124607164209,1.0,0.02201640595016412,0.01886778138577938,1668.227807053101,113.06566680178344,34.32690446453909,4.0,62.337662337662344,53.87000366049558,2025.6409912109373,2862.2333984375,7242.557617187499,242.77713012695312
1255,3286,1.946401316332406,0.9567746016702524,1.0,0.016493869732415758,0.01449607126414776,1337.6101643335364,120.33779671332923,58.83009249939617,2.0,13.897280966767372,67.42489556982784,4539.596950315885,3083.148681786141,7883.9033589770215,467.21038335974436
1256,2868,2.448870921217044,0.9403008577343516,1.0,0.020372938473853103,0.01750209741294384,1724.6209902370988,111.30439330543936,56.420680552018325,3.0,25.26595744680851,69.46416875243636,2877.2031722885,2954.2335688960447,9235.082123627531,146.0913737529033
